q1 (deg),q2 (deg),q3 (deg),q4 (deg),q5 (deg),q6 (deg),x (mm),y (mm),z (mm),r_x (deg),r_y (deg),r_z (deg)
87.1492,-80.7189,80.0749,10.202,84.0558,82.3048,-43.2088,-85.8368,111.485,-86.9441,-7.75735,8.47538
87.2592,-71.076,81.1148,31.259,52.845,40.771,-141.222,-98.6156,155.035,-43.9201,-37.0714,7.46744
87.2792,-92.437,80.6518,38.881,75.0833,75.9662,23.9561,-217.559,131.379,-77.5491,-12.8897,23.2088
87.4689,-85.8537,99.2901,-5.0038,65.9429,60.4081,-132.153,-137.731,142.628,-65.6219,-27.368,-4.06657
87.4712,-65.5538,79.5242,34.158,77.5149,64.1071,-190.79,-71.4971,123.63,-77.9767,-24.2011,42.7258
87.5691,-81.1457,92.4742,13.897,69.7037,85.7271,-136.08,-131.477,137.923,-72.2568,-3.3865,23.0926
87.6482,-75.085,84.3549,9.15231,79.0281,99.6339,-128.574,-68.4576,122.978,-81.5919,9.85985,19.1457
87.7743,-71.5309,72.5198,11.515,84.6201,90.0409,-74.3417,-26.3309,114.166,-87.0568,0.0300824,11.8899
87.7932,-70.7901,87.9158,20.709,90.0512,94.0722,-200.078,-90.4955,109.849,-92.4706,5.18573,36.9667
87.7949,-86.4398,84.3829,4.0582,78.525,76.6801,-19.2786,-116.786,126.317,-80.5722,-13.6051,-0.755917
87.9278,-73.3472,99.5818,5.73307,90.7743,69.9169,-250.949,-118.582,111.616,-92.9533,-19.4071,32.1239
87.9502,-64.3701,83.2009,-2.6311,83.5413,88.0648,-216.955,-5.15921,117.913,-85.8895,-1.76083,14.9302
87.9628,-67.2011,93.3171,18.65,86.001,87.0907,-266.319,-103.432,118.283,-87.882,-1.87938,43.9353
87.9651,-76.263,97.3948,37.633,68.3338,62.63,-204.403,-186.619,145.261,-67.0597,-24.6777,48.3426
88.0017,-87.6809,86.81,26.924,50.896,93.2678,-42.9589,-186.353,166.536,-53.0491,3.26505,27.1361
88.0338,-89.5711,90.4993,13.426,63.0752,72.5559,-51.4649,-169.059,151.571,-64.253,-15.6212,6.05315
88.1009,-94.412,72.533,38.827,42.206,95.5441,102.906,-255.499,178.066,-44.4819,4.32777,20.031
88.2418,-89.928,97.3639,14.696,46.56,97.832,-96.2958,-202.629,173.77,-48.2588,6.2701,26.4666
88.3197,-64.8892,70.2251,27.375,92.3929,40.61,-135.955,-24.9129,108.695,-95.731,-48.9777,36.4684
88.3747,-93.5411,72.8012,8.53489,43.381,50.177,122.469,-197.721,176.816,-37.3142,-27.6558,-43.2678
88.4492,-93.8098,79.526,24.605,63.4402,89.94,54.5428,-206.199,154.748,-65.4632,-0.0789567,9.56423
88.5082,-92.3001,83.3189,30.487,78.3571,80.5521,7.98029,-203.026,134.958,-80.017,-9.17863,19.0931
88.601,-96.6608,74.9051,42.949,45.4,66.278,97.6741,-277.99,178.641,-44.6735,-16.7644,3.87031
88.8142,-80.4398,81.678,49.576,61.35,74.335,-65.6796,-178.351,159.71,-60.7634,-13.8684,43.0657
88.9162,-67.7408,93.0168,26.821,67.5328,72.415,-253.332,-126.362,152.775,-67.4988,-15.6943,44.5535
89.3499,-82.2767,91.5449,24.776,62.2112,74.0708,-121.73,-163.152,163.089,-61.9424,-14.1941,25.75
89.3551,-78.6069,96.5657,1.7417,56.469,55.747,-176.858,-124.859,170.227,-51.8816,-28.2751,-1.34112
89.5138,-87.9479,76.8308,39.118,86.869,62.528,17.8253,-187.541,129.8,-87.2619,-27.6701,25.934
89.5791,-83.2021,92.4622,39.739,85.2492,87.7662,-125.715,-195.497,133.533,-86.0951,-2.24925,48.1356
89.6358,-94.475,84.6551,10.526,80.2691,95.6811,35.0152,-183.032,140.076,-80.6894,5.1029,1.01943
